586266658731388929,Thu Apr 09 203718 0000 2015|Tougher Vaccine Law In Calif Clears First Hurdle http//khnews/1GQdDro http//pbstwimgcom/media/CCLWazbUEAAmvjHjpg
586260160462589954,Thu Apr 09 201129 0000 2015|A new sort of extracurricular activity seeing patients http//khnews/1ceRuaZ http//pbstwimgcom/media/CCLQgiFUIAAC7nJjpg
586238751334125569,Thu Apr 09 184624 0000 2015|Houston firefighters have another tool at their disposal when answering calls digital doctors http//khnews/1NfQjsp http//pbstwimgcom/media/CCK9CYoUsAE4PP8jpg
586181878635298817,Thu Apr 09 150025 0000 2015|Will Montana expand its Medicaid program Some moderates there have revived the idea http//khnews/1Do7UrB http//pbstwimgcom/media/CCKJT7DUAAABcJjjpg
586159308745920512,Thu Apr 09 133044 0000 2015|Rand Pauls campaign first day abortion and the budget http//khnews/1y8aJwC
586159071264432128,Thu Apr 09 132947 0000 2015|Enroll America A Group Dedicated To Promoting Health Law Sign Ups To Cut 100 Jobs http//khnews/1HUROpc
585917217696538625,Wed Apr 08 212845 0000 2015|RT LVGillespie Ever look up health symptoms on a computer Retired nlmnews director led the charge http//khnews/1JowAkr
585878695568543744,Wed Apr 08 185540 0000 2015|PatchUpJob http//khnews/1NaiTex Obamacare http//pbstwimgcom/media/CCF1kYUMAAG1EXjpg
585878346556289024,Wed Apr 08 185417 0000 2015|Still getting your taxes done Your 2014 tax bill could be affected by your insurance https//youtube/RSkNL323iE
585850996666068993,Wed Apr 08 170536 0000 2015|In medicine and use a computer You probably have this man to thank  LVGillespie reports http//khnews/1JowAkr http//owly/i/ahlHl
585841130308263936,Wed Apr 08 162624 0000 2015|RT cnnhealth Two doctors fight for their own choice of how to die Via KHNews http//cnnit/1yVmb9H http//pbstwimgcom/media/CCEzaiiW0AAGxUbjpg
585485594178015234,Tue Apr 07 165338 0000 2015|RT drshow Evidence just doesnt support annual physicals JennyAGold reports http//wamufm/1NQYhmG But that info isnt getting out t
585476845786816513,Tue Apr 07 161852 0000 2015|Still getting your taxes done Your 2014 tax bill could be affected by your insurance Watch http//kaiserhealthnewsorg/news/khnvideotaxdeadlinemeetsthehealthlaw/ http//pbstwimgcom/media/CCAIFqWW0AAbf5jpg
585454532764639232,Tue Apr 07 145012 0000 2015|Rule Proposed On Providing Mental Health ‘ParityIn Medicaid Program http//kaiserhealthnewsorg/news/ruleproposedonprovidingmentalhealthparityinmedicaidprogram/ http//pbstwimgcom/media/CBzy3PVEAEExJBjpg
585141015893450752,Mon Apr 06 180424 0000 2015|Battle For Mental Health Parity Produces Mixed Results http//kaiserhealthnewsorg/news/battleformentalhealthparityproducesmixedresults/ http//pbstwimgcom/media/CB7WpyZVEAAeCOMjpg
585129776521879553,Mon Apr 06 171944 0000 2015|HighDeductible Health Plans Can Ruin Finances http//kaiserhealthnewsorg/news/highdeductiblehealthplanscanruinfinances/
585113044621066240,Mon Apr 06 161315 0000 2015|RT JennyAGold Maybe You Should Skip That Annual Physical nprnews KHNews http//wwwnprorg/blogs/health/2015/04/06/397100748/maybeyoushouldskipthatannualphysical
585093001736806400,Mon Apr 06 145336 0000 2015|Billionaires Harness Money Technology In Pursuit Of Fountain Of Youth http//kaiserhealthnewsorg/morningbreakout/billionairesharnessmoneytechnologyinpursuitoffountainofyouth/
585082922417414144,Mon Apr 06 141333 0000 2015|Ritual Not Science Keeps The Annual Physical Alive http//kaiserhealthnewsorg/news/ritualnotsciencekeepstheannualphysicalalive/ http//pbstwimgcom/media/CB6h0SpUIAEh2nNjpg
585078557304496128,Mon Apr 06 135612 0000 2015|Medicare Is Stingy In First Year Of Doctor Bonuses http//kaiserhealthnewsorg/news/medicareisstingyinfirstyearofdoctorbonuses/ http//pbstwimgcom/media/CB6d2NIUEAIBjnOpng
584073329159446528,Fri Apr 03 192147 0000 2015|Cancer Survivor Worries About Supreme Court Ruling On Obamacare Subsidies http//kaiserhealthnewsorg/news/cancersurvivorworriesaboutsupremecourtrulingonobamacaresubsidies/
584069321648779264,Fri Apr 03 190552 0000 2015|Got a minute Watch how the your 2014 tax bill could be affected by your health insurance http//kaiserhealthnewsorg/news/khnvideotaxdeadlinemeetsthehealthlaw/ http//pbstwimgcom/media/CBsH88aUkAEU401jpg
584065971821752320,Fri Apr 03 185233 0000 2015|Consumers Contributing Less To Health Savings Accounts Study Finds http//kaiserhealthnewsorg/news/consumerscontributinglesstohealthsavingsaccountsstudyfinds/ http//pbstwimgcom/media/CBsE58mVEAAq9yjpg
583754082982240256,Thu Apr 02 221313 0000 2015|RT Julieappleby Its tax time Heres a clip on what you need to know if you received a health insurance subsidy http//owly/L8Z9o
583671863059939328,Thu Apr 02 164630 0000 2015|Got a min Your 2014 tax bill could be affected by your health insurance http//khnews/1IUQDH0 http//pbstwimgcom/media/CBmedyDUsAAcxgQjpg
583626235558801408,Thu Apr 02 134512 0000 2015|Tax Deadline Meets The Health Law https//youtube/RSkNL323iE
583334482742149120,Wed Apr 01 182553 0000 2015|‘Last But Not Leasthttp//khnews/1MAX1cd http//pbstwimgcom/media/CBhrnuyUIAAiWcqjpg
583333117823295488,Wed Apr 01 182027 0000 2015|In Georgia a solution on Medicaid expansion  just dont do it http//khnews/1MAVZgf http//pbstwimgcom/media/CBhqYRUIAAfto7jpg
583289459610910720,Wed Apr 01 152658 0000 2015|RT cnnhealth Despised hospital gowns get fashion makeovers via KHNews http//cnnit/1yA4oov http//pbstwimgcom/media/CBg3wH5U0AA05jpg
582992052536754176,Tue Mar 31 194511 0000 2015|If youre moving make sure you notify your marketplace plan or you might end up making extra payments http//khnews/1INfEUx
582991430232096768,Tue Mar 31 194243 0000 2015|Could this new plan change how we diagnose and treat mentalillness http//khnews/1NF7lgr http//pbstwimgcom/media/CBcznGaU0AAgI1xjpg
582984916788334592,Tue Mar 31 191650 0000 2015|Dead Center http//khnews/1INcdx5 http//pbstwimgcom/media/CBctsUZU8AEo2HNjpg
582950291580014592,Tue Mar 31 165914 0000 2015|SCOTUS has ruled that health care providers cant sue states to force them to increase their Medicaid payment rates http//khnews/1IiWgOd
582930555236458496,Tue Mar 31 154049 0000 2015|Hey news friends did you know you can run KHNews stories for free Well you can  http//khnews/1J9523K
582927079089397761,Tue Mar 31 152700 0000 2015|Hate hospital gowns Youre not alone Some are getting a fashion face lift  http//khnews/1ExnB1k http//pbstwimgcom/media/CBb5Ft8UkAIBEmkjpg
582644675569426433,Mon Mar 30 204450 0000 2015|UnitedHealthcare is changing its policy on balance billing It could mean unexpected bills for some http//khnews/1EsvghD
582616599762378752,Mon Mar 30 185316 0000 2015|A pox on you http//khnews/1G1RXte http//pbstwimgcom/media/CBXetblUkAAtj0Npng
582594188342005760,Mon Mar 30 172413 0000 2015|This doctor knows how he wants to die and hes pushing to let patients make the same decision http//khnews/1NzvEMs http//pbstwimgcom/media/CBXKU7WVAAAOFojpg
582546960739119104,Mon Mar 30 141633 0000 2015|Feds Step Up Efforts To Raise Awareness About Health Law Tax Breaks http//khnews/1NyHFSo
582546708518838272,Mon Mar 30 141533 0000 2015|The DocFix Back Story How Boehner And Pelosi Made A Deal http//khnews/1Cpg9lv
581518493293658113,Fri Mar 27 180947 0000 2015|Many people who are entitled to big Obamacare subsidies opt against coverage Heres why http//khnews/1F1FEdw http//pbstwimgcom/media/CBH3OXU0AARPlEpng
581481968136790016,Fri Mar 27 154439 0000 2015|Has your insurance company denied you mentalhealth care that you felt you needed Tell JennyAGold about it http//khnews/1FTAB07
581474960906022914,Fri Mar 27 151648 0000 2015|We run down the latest on the DocFix http//khnews/1NikrzM Who voted against it http//khnews/1NikyeG
