548662191340421120,Sat Dec 27 021034 +0000 2014|Risks in Using Social Media to Spot Signs of Mental Distress http//nytims/1rqi9I1
548579831169163265,Fri Dec 26 204318 +0000 2014|RT paulaspan The most effective nationwide diabetes prevention program youve probably never heard of  http//newoldageblogsnytimescom/2014/12/26/diabetespreventionthatworks/
548579045269852161,Fri Dec 26 204011 +0000 2014|The New Old Age Blog Diabetes Prevention That Works http//nytims/1xm7fTi
548444679529041920,Fri Dec 26 114615 +0000 2014|Well Comfort Casseroles for Winter Dinners http//nytims/1xTNoO0
548311901227474944,Fri Dec 26 025839 +0000 2014|HighLevel Knowledge Before Veterans Affairs Scandal http//nytims/13yCpvS
548305625449787392,Fri Dec 26 023342 +0000 2014|Your Money Affordable Care Act’s Tax Effects Now Loom for Filers http//nytims/13yAtUf
548283182853160960,Fri Dec 26 010432 +0000 2014|Well Christmas in the Hospital http//nytims/1vtPNcm
548278414504108033,Fri Dec 26 004535 +0000 2014|The Texas Tribune For Members of Health Ministries in Texas Caring Means Sharing the Bills http//nytims/1wLtAen
548176399299649536,Thu Dec 25 180012 +0000 2014|A qampa with Laura Hillenbrand author of Unbroken who suffers from chronic fatigue syndrome http//bitly/1ziCflj
547949409288609792,Thu Dec 25 025814 +0000 2014|Race to Deliver Nicotine’s Punch With Less Risk  http//nytims/1xNzyg4
547904193961656321,Wed Dec 24 235834 +0000 2014|The New Health Care People Are Shopping for Health Insurance Surprisingly http//nytims/1vpIjqE
547904193001185280,Wed Dec 24 235833 +0000 2014|Machine Learning Bedtime Technology for a Better Night’s Sleep http//nytims/16RCgpE
547872136304394242,Wed Dec 24 215110 +0000 2014|Breaking Lab Error May Have Exposed US Technician to Ebola Virus http//nytims/1ziIYf6
547870756592300034,Wed Dec 24 214541 +0000 2014|CDC Ebola Error in Lab May Have Exposed Technician to Virus http//nytims/1CDkLqc
547870381160140800,Wed Dec 24 214412 +0000 2014|RT nytimes Breaking News Lab Error May Have Exposed US Technician to Ebola Virus http//nytims/1B2ThGD
547802935141232642,Wed Dec 24 171612 +0000 2014|A qampa with Laura Hillenbrand author of Unbroken who suffers from chronic fatigue syndrome http//nytims/1B5PO9Q
547765704829964289,Wed Dec 24 144815 +0000 2014|RT cslnyt Virus That Killed a Kansas Farmer is identified CDCgov  nytDeniseGrady  http//wwwnytimescom/2014/12/24/science/mysteriousvirusthatkilledafarmerinkansasisidentifiedhtmlsmid=nytcoreiphonesharesmprod=nytcoreiphone
547624914531127296,Wed Dec 24 052848 +0000 2014|Well Exercise to Lose Weight Stay Warm http//nytims/1Hz7Pj2
547599936452583427,Wed Dec 24 034933 +0000 2014|Business Briefing Diabetes Drug Gains Approval for Treatment of Obesity http//nytims/1ta9nPw
547599935517241344,Wed Dec 24 034933 +0000 2014|So Far 64 Million Obtain Health Care Coverage for 2015 in Federal Marketplace http//nytims/1vaJ1ad
547595227197087745,Wed Dec 24 033050 +0000 2014|DealBook Inquiry Into Foreign Bribes at Biomet Hangs Over 13 Billion Merger http//nytims/1vaHQYn
547595226215632896,Wed Dec 24 033050 +0000 2014|Firing of VA Clinic Chief Is Upheld Over Gifts Not Wait Lists http//nytims/1ta9nPu
547576403836035072,Wed Dec 24 021602 +0000 2014|World Briefing Ireland Doctors Seek to Remove Pregnant Woman From Life Support http//nytims/13uMfPo
547562964153536512,Wed Dec 24 012238 +0000 2014|Plastic Surgery Tourism Brings Chinese to South Korea  http//nytims/1wDB6Yq
547561821373075456,Wed Dec 24 011806 +0000 2014|Looking for a better nights sleep Put down that ebook and read a paperback instead http//nytims/1whtwhd
547559173974921218,Wed Dec 24 010734 +0000 2014|Mysterious Virus That Killed a Farmer in Kansas Is Identified http//nytims/1AZ0qaL
547515883518980096,Tue Dec 23 221533 +0000 2014|Well Pain Relievers Tied to Reduced Skin Cancer Risk http//nytims/13ukGpr
547501217086062592,Tue Dec 23 211716 +0000 2014|The best gift The humble gift card http//nytims/1A1pDmz
547500871689711616,Tue Dec 23 211554 +0000 2014|What do most people say they want for a gift http//pbstwimgcom/media/B5kdIQXCQAAtcgAjpg
547460287289634822,Tue Dec 23 183438 +0000 2014|FDA Lifting Ban on Gay Blood Donors http//nytims/16NAVjH
547459549360574466,Tue Dec 23 183142 +0000 2014|FDA to Lift Lifetime Ban on Blood Donation by Gay Men http//nytims/1A12TTG
547440575545614336,Tue Dec 23 171618 +0000 2014|Well Think You Found the Perfect Gift Think Again http//nytims/13B6Amt
547410904414167040,Tue Dec 23 151824 +0000 2014|RT nytDeniseGrady CDC Head Says Fight on Ebola Will Be Long http//nytims/1vhYN4g
547232205605707776,Tue Dec 23 032819 +0000 2014|Gunman May Have Used Garner and Brown Cases to Justify Police Killings Experts Say http//nytims/1ATCm9m
547227742849470464,Tue Dec 23 031035 +0000 2014|US Court Strikes Down North Carolina Ultrasound Abortion Law http//nytims/1xcoPMu
547227741960278016,Tue Dec 23 031035 +0000 2014|Group Sues Aetna Claiming Discrimination Against HIV Patients http//nytims/1ATxhOj
547223894130978817,Tue Dec 23 025517 +0000 2014|Obama Administration to Investigate Insurers for Bias Against Costly Conditions http//nytims/1xcnYeX
547184000411127808,Tue Dec 23 001646 +0000 2014|CDC Head Says Fight on Ebola Will Be Long http//nytims/1CxIFR9
547179177829756929,Mon Dec 22 235736 +0000 2014|OpEd Contributors Sugar Season It’s Everywhere and Addictive http//nytims/16KEwPg
547144384672976896,Mon Dec 22 213921 +0000 2014|Letters Flavors From the Past  http//nytims/1HruX2S
547140214125506560,Mon Dec 22 212247 +0000 2014|Global Health For Heroin Users Less May Be Worse for HIV  http//nytims/1AAlJB2
547130056959860736,Mon Dec 22 204225 +0000 2014|QampA  The Danger of Going Off Course http//nytims/13WclvS
547129518683475968,Mon Dec 22 204017 +0000 2014|Video Is farmed fish better than no fish at all  askwell http//nytims/1weXRwR
547125616592834562,Mon Dec 22 202446 +0000 2014|Well Living With Cancer Playing the C Card http//nytims/1wf4rTY
547125615531671552,Mon Dec 22 202446 +0000 2014|Patterns How Ebooks May Disrupt Your Sleep http//nytims/13W9Sl1
547121243460481024,Mon Dec 22 200724 +0000 2014|Books Gabriele Oettingen Turns Her Mind to Motivation in ‘Rethinking Positive Thinking’ http//nytims/13W60QY
547061476650139648,Mon Dec 22 160954 +0000 2014|RT celiadugger Competition seems to driving down the exorbitant cost of hep c drugs after all http//nytims/1E10oon
547058681599520769,Mon Dec 22 155848 +0000 2014|Personal Health Why Cafeteria Food Is the Best http//nytims/1zVQnou
546894013090263040,Mon Dec 22 050428 +0000 2014|Pharmacy Deal Heralds Changed Landscape for Hepatitis Drugs http//nytims/1wd8nEK
546525411623337984,Sun Dec 21 043946 +0000 2014|Military Medicine Military Hospital Care Is Questioned Next Reprisals http//nytims/16Eu0co
